,name,location,rent,deposit,area,type,highlights,description,owner
193,Majestique Manhattan,Wagholi,14999.0,30000.0,640.0,1 BHK ,"['East Facing', 'Gated Society']","Majestique manhattan is one of pune's most sought after destination for residential flats and this 1 bhk flat for rent in wagholi with 580 sq.Ft., is your opportunity to be a part of this community. Property has attached 1 bathroom & 1 balcony with 1 room set in 580 sq.Ft. Super built-Up area. This property is constructed on 640 sq.Ft. Extra space for others. You also get 1 covered parking insi...",M/S Sai Homes 1 
194,Kolte Patil Life Republic,Hadapsar,27000.0,54000.0,1060.0,3 BHK ,"['3 Baths', 'East Facing']",3bhk unfurnished flat available in life republic kolte patil township marunji,Elite Properties 
195,Kolte Patil Life Republic,Hadapsar,22001.0,66003.0,410.0,1 BHK ,"['1 Baths', 'East Facing']","1bhk full furnished flat available for rent in life republic kolte patil township marunji.
It's available for family or bacholer.",Elite Properties 
196,Vilas Javdekar Yashwin Orizzonte,Kharadi,42000.0,42000.0,1100.0,3 BHK ,"['3 Baths', 'East Facing']",Newly constructed premium property at prime location of kharadi adjoining to it park and panchshil towers,Aadrika Property Solution 
197,Sai Hira,Moshi,20000.0,50000.0,750.0,2 BHK ,"['2 Baths', 'East Facing']","Pune's most popular society sai hira in moshi offers 2 bhk apartment. This flat consists of 2 bathrooms & 2 balconies build in 750 sq.Ft. Carpet area. Flat is constructed on 750 sq.Ft. 1 covered parking available. Placed on 8th of 12 floor. This is a furnished flat. Already installed 16 light, 4 fan, 2 bed, 2 wardrobe, 1 sofa, 1 stove, 1 water purifier, 1 curtains and 1 exhaust fan. Property is...",Sparsh Properties 
198,"Bijlinagar, Pune",Bijl,24000.0,60000.0,1150.0,3 BHK ,"['3 Baths', 'East Facing']",Allowed only for batchelors. 5/6 persons.,Sparsh Properties 
199,Yashada Splendid Park,Dudulgaon,15000.0,30000.0,679.0,2 BHK ,"['2 Baths', 'East Facing']",Pune's most popular society yashada splendid park in dudulgaon offers 2 bhk apartment. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 679 sq.Ft. Carpet area. The flat is built on 679 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 5th in a tower with 11 floors. It is an unfurnished property. Property is ready to be leased on any agr...,Sparsh Properties 
200,VTP Belair,Mahalunge,22000.0,50000.0,480.0,1 BHK ,"['1 Baths', 'East Facing']","Find this 1 bhk apartment for rent in mahalunge, pune. This 1 bhk apartment in vtp belair is situated in pune. This property offers access to nearby landmarks and is close to metro station. This flat consists of 1 bathroom & 1 balcony build in 480 sq.Ft. Carpet area. The flat is built on 480 sq.Ft. Area. This property has pooja room as well. Ease of access to 1 covered parking within society. T...",Lotlite Realtors Private Limited
201,Shapoorji Joyville,Hadapsar,23000.0,50000.0,710.0,2 BHK ,"['2 Baths', 'Full Power Backup']","A 2 bhk flat for rent in hinjewadi close to all basic civic amenities is available for just 23,000 in shapoorji joyville, pune. Additionally, this property is in vicinity to important points of interest and is close to metro station, close to hospital, close to school and close to market. Property has attached 2 bathrooms & 1 balcony with 2 rooms set in 710 sq.Ft. Carpet area. The flat is built...",Lotlite Realtors Private Limited
202,Paranjape Blue Ridge,Hadapsar,22500.0,50000.0,510.0,1 BHK ,"['1 Baths', 'Full Power Backup']",Explore this amicable paranjape blue ridge of hinjewadi in pune ! Live in a 1 bhk flat for rent in hinjewadi. This flat consists of 1 bathroom & 1 balcony in 510 sq.Ft. Carpet area. This flat is constructed on 510 sq.Ft. Area. An independent pooja room is available in this property. This flat lies on the 22nd floor of a 30 storey building. Well maintained 1-5 years property. Unfurnished flat pr...,Lotlite Realtors Private Limited
